X,Y,Especies_p,Cobertura,Edad_parch,Morfologia,Geo,Suelo,Lat,Long,sin_cobert,mantillo,roca,muerto_en_,criptogama,efimeras,Inundado12,DEMALOS,DEM_5000,ndviverano,icon_url
-68.1426611,-38.98024722,Salba,Salba_Pnigra,"31",candelabro,redcanales,arenalimo,-38.980247220000003,-68.142661099999998,"6","0","0","0","0","0","1","289",266.629669200000023,0.528855264000000,./0.png
-68.146586,-38.9786,Pyrus,Pyrus,"15",bifurcado,planiciefranjas,arenalimo,-38.978600000000000,-68.146585999999999,"0","32","0","5","0","0","0","291",267.263091999999972,0.250200272000000,./0.png
-68.115408,-38.987517,Salba,Salba_Pnigra,"38",candelabro,redcanales,arenalimo,-38.987516999999997,-68.115408000000002,"3","11","0","3","0","0","1","286",263.883605999999986,0.078747340000000,./0.png
-68.1176222,-38.98766667,Salba,Salba_Tamarix_Pnigra,"38",candelabro,albardon,arena,-38.987666670000003,-68.117622200000000,"7","0","0","0","0","1","0","287",264.315368700000022,0.400979698000000,./0.png
-68.4335722,-39.03004444,Salba,Salba_Sxfragilis,"36",Raiz_expuesta,cauceabandonado,Organicolimo,-39.030044439999998,-68.433572200000000,"0","0","0","1","3","0","1","309",,0.551826239000000,./0.png
-68.4357778,-39.03024444,Pdeltoides,Pdeltoides_Sxfragilis,"28",candelabro,bordeacrecion,arena,-39.030244439999997,-68.435777799999997,"2","0","0","0","0","0","1","308",,0.413178980000000,./0.png
-68.3467528,-38.99679167,Shumb,Shumb,"48",inclinado,albardon,arenalimo,-38.996791670000000,-68.346752800000004,"0","32","0","0","0","0","1","305",,0.373726547000000,./0.png
-68.038478,-38.999086,Matsudana,Smatsu,"23",candelabro,cauceabandonado,Organicolimo,-38.999085999999998,-68.038477999999998,"0","3","0","0","0","0","1","275",257.638458300000025,0.579013109000000,./0.png
-68.041678,-38.982897,Shumb,Shumb,"30",recto,alterna,limo,-38.982897000000001,-68.041678000000005,"2","0","0","0","0","0","0","278",257.540832500000022,0.662540376000000,./0.png
-68.046542,-38.9826,Shumb,Shumb,"42",recto,planicie,arenalimo,-38.982599999999998,-68.046542000000002,"5","0","0","1","0","0","0","282",259.586792000000003,0.162409961000000,./0.png
-68.131047,-38.983183,Pnigra,Pnigra,"4",renoval,planiciefranjas,arenalimo,-38.983182999999997,-68.131046999999995,"0","32","0","0","0","0","1","286",271.000000000000000,0.394311219000000,./0.png
-68.145551,-38.976777,Pnigra,Pnigra,"4",renoval,alterna,arenaroca,-38.976776999999998,-68.145550999999998,"0","0","7","0","3","3","1","284",264.761230500000011,0.144763172000000,./0.png
-68.430456,-39.029786,Pnigra,Pnigra,"4",renoval,bordeacrecion,roca,-39.029786000000001,-68.430456000000007,"10","0","0","0","0","0","1","305",,0.305263162000000,./0.png
-68.178533,-38.968156,Pnigra,Pnigra,"4",renoval,transversal,roca,-38.968156000000000,-68.178533000000002,"10","0","32","0","0","0","1","286",267.000000000000000,0.187071502000000,./0.png
-68.101736,-38.98915,Pnigra,Pnigra,"4",renoval,alterna,arenalimo,-38.989150000000002,-68.101736000000002,"3","0","0","0","0","0","1","282",261.000000000000000,0.126919970000000,./0.png
-68.116867,-38.982527,Pnigra,Pnigra,"4",renoval,transversal,roca,-38.982526999999997,-68.116866999999999,"5","0","20","0","11","0","1","283",263.000000000000000,0.219985083000000,./0.png
-68.118289,-38.981297,Pnigra,Pnigra,"4",renoval,bordeacrecion,roca,-38.981296999999998,-68.118289000000004,"16","0","29","0","0","1","1","280",263.264251699999988,0.425925940000000,./0.png
